GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Less than 9th grade,Margin of Error; Male: - Less than 9th grade,"Estimate; Male: - 9th to 12th grade, no diploma","Margin of Error; Male: - 9th to 12th grade, no diploma",Estimate; Male: - Regular high school diploma,Margin of Error; Male: - Regular high school diploma,Estimate; Male: - GED or alternative credential,Margin of Error; Male: - GED or alternative credential,"Estimate; Male: - Some college, no degree","Margin of Error; Male: - Some college, no degree",Estimate; Male: - Associate's degree,Margin of Error; Male: - Associate's degree,Estimate; Male: - Bachelor's degree,Margin of Error; Male: - Bachelor's degree,Estimate; Male: - Graduate or professional degree,Margin of Error; Male: - Graduate or professional degree,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Less than 9th grade,Margin of Error; Female: - Less than 9th grade,"Estimate; Female: - 9th to 12th grade, no diploma","Margin of Error; Female: - 9th to 12th grade, no diploma",Estimate; Female: - Regular high school diploma,Margin of Error; Female: - Regular high school diploma,Estimate; Female: - GED or alternative credential,Margin of Error; Female: - GED or alternative credential,"Estimate; Female: - Some college, no degree","Margin of Error; Female: - Some college, no degree",Estimate; Female: - Associate's degree,Margin of Error; Female: - Associate's degree,Estimate; Female: - Bachelor's degree,Margin of Error; Female: - Bachelor's degree,Estimate; Female: - Graduate or professional degree,Margin of Error; Female: - Graduate or professional degree
0500000US53011,53011,"Clark County, Washington",272845,1532,132692,910,1411,611,7521,1359,27822,2235,4825,925,34936,2747,14804,1843,27032,2110,14341,1744,140153,795,2307,856,5137,928,29176,2524,5064,1049,41451,2649,17919,2088,25031,2196,14068,1867
0500000US53015,53015,"Cowlitz County, Washington",67331,691,32712,466,1013,556,3557,1003,7363,1092,2986,980,9361,1363,3003,882,3405,767,2024,554,34619,480,588,378,2423,763,9248,1340,2038,679,10500,1351,3613,906,3677,987,2532,816
0500000US53021,53021,"Franklin County, Washington",34370,1827,18070,1129,1404,562,1709,732,3580,947,655,421,5502,951,1802,739,1651,594,1767,597,16300,989,766,413,967,476,2547,803,657,400,5316,1003,2314,770,2252,735,1481,478
0500000US53025,53025,"Grant County, Washington",40041,1329,20339,963,1508,622,1116,524,4508,959,1369,680,5366,1211,1440,644,3164,1201,1868,751,19702,624,741,408,2040,625,4547,1360,804,342,5625,1220,1818,619,2606,827,1521,679
0500000US53027,53027,"Grays Harbor County, Washington",46327,473,23357,379,719,367,1865,573,7217,1068,2072,643,4964,916,2761,800,2560,803,1199,425,22970,360,919,511,1914,806,5472,1104,1132,519,6726,1267,2310,796,3390,1086,1107,435
0500000US53029,53029,"Island County, Washington",53149,564,25974,429,153,152,853,541,5165,1073,964,411,7443,1044,2539,767,4910,836,3947,690,27175,357,364,386,612,326,5753,1016,479,310,8126,1099,3516,824,4679,851,3646,740
0500000US53033,53033,"King County, Washington",1049772,4272,525122,2897,6360,1066,16814,2139,61263,3910,13712,1922,98895,4131,38483,3203,176440,5426,113155,4843,524650,2255,6833,1306,13387,1570,67966,3891,9883,1331,97735,4024,48181,3097,173554,5435,107111,4421
0500000US53035,53035,"Kitsap County, Washington",153124,915,76537,561,752,384,3161,957,14474,1798,3262,897,21890,2089,7905,1265,15879,1503,9214,1259,76587,550,1053,518,2875,932,13898,1595,2876,946,22722,1945,7185,1283,17038,1704,8940,1297
0500000US53041,53041,"Lewis County, Washington",50372,615,24595,409,866,400,1935,605,6739,1086,1683,574,7004,990,2613,726,2372,623,1383,446,25777,391,631,337,1586,478,5270,882,1485,445,8124,910,3713,721,3569,763,1399,390
0500000US53053,53053,"Pierce County, Washington",445138,2828,218213,1845,3960,1199,12116,2141,48670,3428,12488,1851,58190,3768,22449,2578,39771,2526,20569,2051,226925,1318,3935,1087,11325,1727,47587,3433,9342,1454,59013,3219,28954,2861,43895,3041,22874,2287
